age,job,marital,education,balance,housing,loan,deposit
35,blue-collar,divorced,primary,300,yes,no,yes
43,technician,married,secondary,3285,yes,no,yes
52,housemaid,married,secondary,3923,yes,no,yes
53,technician,divorced,primary,1443,yes,no,yes
48,blue-collar,divorced,primary,24,yes,no,yes
41,blue-collar,single,primary,1618,yes,no,yes
39,management,divorced,tertiary,517,yes,yes,yes
59,retired,married,secondary,1521,yes,yes,yes
41,blue-collar,married,secondary,2823,yes,no,yes
48,blue-collar,married,secondary,1405,yes,no,yes
40,admin.,married,secondary,1535,yes,no,yes
48,blue-collar,married,secondary,1596,yes,no,yes
60,retired,married,primary,1542,yes,no,yes
40,technician,single,unknown,3652,yes,no,yes
57,technician,married,tertiary,-1,no,no,yes
51,blue-collar,married,secondary,7180,yes,no,yes
41,blue-collar,divorced,secondary,5291,yes,no,yes
41,blue-collar,married,secondary,1384,yes,no,yes
52,blue-collar,divorced,primary,-191,yes,no,yes
59,blue-collar,married,primary,320,yes,no,yes
44,blue-collar,married,unknown,146,yes,no,yes
49,unknown,married,primary,341,yes,yes,yes
40,services,married,primary,-9,yes,no,yes
41,admin.,married,primary,-306,yes,no,yes
44,technician,married,tertiary,4580,yes,no,yes
60,services,single,primary,313,yes,no,yes
29,management,married,tertiary,10576,no,no,yes
41,retired,divorced,primary,-233,yes,no,yes
41,blue-collar,married,primary,2453,yes,no,yes
42,technician,single,secondary,1364,yes,no,yes
36,services,single,unknown,281,yes,no,yes
39,technician,married,tertiary,94,yes,yes,yes
31,self-employed,single,tertiary,144,yes,no,yes
26,blue-collar,married,secondary,246,yes,no,yes
31,blue-collar,married,secondary,92,yes,no,yes
29,admin.,single,secondary,163,yes,yes,yes
37,services,divorced,secondary,49,yes,no,yes
33,blue-collar,single,secondary,-416,yes,no,yes
24,technician,single,secondary,409,yes,no,yes
50,admin.,divorced,secondary,363,yes,no,yes
27,technician,single,tertiary,3706,yes,no,yes
54,management,single,tertiary,4393,yes,no,yes
30,technician,single,secondary,863,yes,no,yes
34,blue-collar,married,primary,695,yes,yes,yes
37,management,single,secondary,792,yes,no,yes
41,admin.,single,secondary,1020,yes,no,yes
47,blue-collar,married,secondary,863,yes,no,yes
31,admin.,married,secondary,97,yes,no,yes
31,blue-collar,married,secondary,754,yes,no,yes
43,services,divorced,secondary,1040,yes,no,yes
37,management,divorced,tertiary,122,yes,no,yes
30,technician,single,tertiary,880,yes,yes,yes
41,technician,married,secondary,501,yes,no,yes
36,blue-collar,married,secondary,4438,yes,no,yes
35,blue-collar,divorced,secondary,0,yes,no,yes
29,services,single,secondary,271,yes,no,yes
35,blue-collar,married,primary,102,yes,no,yes
31,blue-collar,married,secondary,2,yes,no,yes
35,services,married,secondary,4170,yes,no,yes
34,technician,single,secondary,85,yes,no,yes
31,admin.,single,secondary,431,yes,yes,yes
44,technician,divorced,secondary,982,yes,no,yes
36,blue-collar,married,primary,408,yes,yes,yes
35,blue-collar,married,unknown,4822,yes,no,yes
41,blue-collar,married,primary,1250,yes,no,yes
31,blue-collar,single,primary,216,yes,no,yes
34,blue-collar,married,secondary,1207,yes,no,yes
32,technician,married,secondary,791,yes,no,yes
36,management,married,tertiary,849,yes,yes,yes
30,blue-collar,single,secondary,239,yes,no,yes
37,technician,single,secondary,1211,yes,no,yes
36,blue-collar,married,primary,599,yes,no,yes
31,management,single,tertiary,825,yes,no,yes
27,technician,married,secondary,2183,yes,yes,yes
34,retired,married,primary,4499,no,no,yes
30,technician,single,tertiary,1289,yes,no,yes
32,technician,single,tertiary,4665,yes,no,yes
37,technician,single,secondary,3326,yes,no,yes
32,blue-collar,married,secondary,783,yes,no,yes
33,blue-collar,married,secondary,0,yes,no,yes
35,blue-collar,married,primary,994,yes,no,yes
35,self-employed,divorced,tertiary,1354,yes,no,yes
30,blue-collar,single,secondary,239,yes,no,yes
45,blue-collar,divorced,primary,-311,yes,no,yes
45,admin.,married,secondary,149,yes,no,yes
33,blue-collar,married,secondary,1464,yes,no,yes
44,management,divorced,tertiary,5773,no,no,yes
40,blue-collar,married,primary,278,yes,no,yes
31,blue-collar,married,secondary,2910,yes,no,yes
30,technician,married,tertiary,541,yes,no,yes
44,technician,divorced,secondary,1262,yes,no,yes
34,services,married,secondary,-538,yes,no,yes
37,blue-collar,married,secondary,125,no,no,yes
28,self-employed,single,tertiary,0,yes,no,yes
32,admin.,single,secondary,620,yes,no,yes
37,blue-collar,divorced,secondary,316,yes,no,yes
34,management,married,tertiary,2287,yes,no,yes
38,admin.,divorced,secondary,198,yes,no,yes
28,admin.,single,secondary,460,yes,no,yes
31,management,divorced,tertiary,1145,yes,no,yes
59,services,married,secondary,-22,yes,no,yes
24,blue-collar,married,secondary,685,yes,no,yes
26,services,single,secondary,901,yes,no,yes
59,retired,single,secondary,351,yes,no,yes
30,entrepreneur,single,primary,0,yes,yes,yes
37,admin.,married,secondary,274,yes,no,yes
30,admin.,single,secondary,-213,yes,yes,yes
25,blue-collar,married,secondary,97,yes,no,yes
44,services,divorced,secondary,51,yes,yes,yes
29,management,married,tertiary,314,no,no,yes
26,management,single,tertiary,6840,yes,no,yes
26,technician,single,secondary,668,yes,no,yes
27,services,single,secondary,54,yes,no,yes
25,self-employed,single,secondary,1242,yes,no,yes
28,management,married,secondary,292,yes,no,yes
23,services,single,secondary,665,yes,no,yes
34,management,single,tertiary,1058,yes,no,yes
28,student,single,secondary,949,yes,no,yes
51,entrepreneur,married,unknown,606,yes,no,yes
35,blue-collar,married,secondary,0,yes,yes,yes
35,admin.,married,secondary,404,yes,no,yes
56,blue-collar,married,secondary,249,yes,no,yes
45,unemployed,divorced,secondary,3354,yes,no,yes
60,blue-collar,divorced,secondary,0,yes,no,yes
56,technician,married,secondary,589,yes,no,yes
27,management,single,tertiary,12956,yes,no,yes
30,admin.,married,secondary,873,yes,no,yes
45,blue-collar,divorced,primary,594,yes,no,yes
29,blue-collar,single,secondary,-20,yes,no,yes
38,management,divorced,tertiary,4692,yes,no,yes
30,blue-collar,married,secondary,486,yes,no,yes
44,blue-collar,single,primary,1593,yes,no,yes
36,management,single,tertiary,7606,yes,no,yes
38,technician,married,secondary,226,yes,no,yes
36,blue-collar,single,secondary,366,yes,yes,yes
37,management,divorced,secondary,16,yes,no,yes
35,management,single,tertiary,565,yes,no,yes
38,admin.,divorced,secondary,19,yes,no,yes
40,services,married,primary,1082,yes,no,yes
42,unemployed,divorced,secondary,1713,yes,no,yes
46,management,divorced,tertiary,14481,yes,no,yes
35,technician,divorced,secondary,5724,yes,no,yes
34,technician,divorced,secondary,1451,yes,no,yes
32,services,married,secondary,-34,yes,no,yes
50,unemployed,married,secondary,3674,yes,no,yes
35,blue-collar,married,secondary,698,yes,yes,yes
36,technician,single,secondary,4136,yes,no,yes
53,blue-collar,divorced,primary,2656,yes,no,yes
46,management,single,tertiary,2904,yes,no,yes
26,management,single,tertiary,1004,yes,no,yes
45,technician,single,secondary,410,yes,no,yes
31,unemployed,divorced,primary,0,yes,no,yes
29,management,single,tertiary,0,yes,no,yes
53,entrepreneur,single,secondary,62,yes,no,yes
27,blue-collar,married,primary,416,yes,no,yes
39,management,married,tertiary,2763,yes,no,yes
36,services,married,secondary,2984,yes,no,yes
41,blue-collar,married,primary,143,yes,yes,yes
36,services,married,primary,0,yes,no,yes
32,technician,married,secondary,696,yes,no,yes
35,services,married,secondary,152,yes,no,yes
36,management,single,tertiary,-78,yes,no,yes
35,management,married,tertiary,867,yes,no,yes
30,blue-collar,single,secondary,953,yes,no,yes
42,blue-collar,married,secondary,443,yes,no,yes
42,technician,single,secondary,-1129,yes,no,yes
32,blue-collar,married,primary,415,yes,no,yes
29,blue-collar,single,secondary,260,yes,no,yes
44,management,divorced,tertiary,-411,yes,no,yes
32,technician,single,secondary,1279,yes,no,yes
31,unemployed,married,secondary,86,yes,yes,yes
40,self-employed,married,secondary,-754,yes,yes,yes
43,entrepreneur,married,secondary,0,no,no,yes
27,management,single,secondary,178,yes,no,yes
37,services,single,secondary,278,yes,no,yes
23,services,single,secondary,425,yes,no,yes
25,management,married,primary,168,yes,no,yes
26,blue-collar,single,secondary,-36,yes,no,yes
47,blue-collar,divorced,primary,126,yes,no,yes
35,admin.,married,secondary,-87,yes,no,yes
32,technician,single,tertiary,6281,yes,no,yes
45,management,divorced,secondary,644,yes,no,yes
30,admin.,divorced,secondary,377,yes,no,yes
29,services,single,secondary,-271,yes,no,yes
38,blue-collar,married,primary,5839,yes,no,yes
23,blue-collar,single,secondary,492,yes,no,yes
27,management,single,tertiary,99,yes,no,yes
27,management,single,tertiary,-713,yes,no,yes
29,services,single,secondary,32,yes,no,yes
30,self-employed,married,tertiary,543,yes,yes,yes
36,blue-collar,married,primary,403,yes,no,yes
35,admin.,divorced,secondary,437,yes,no,yes
36,blue-collar,married,secondary,1772,no,no,yes
59,retired,divorced,primary,-88,yes,no,yes
47,entrepreneur,married,secondary,0,no,no,yes
58,entrepreneur,married,tertiary,853,no,no,yes
37,management,single,tertiary,240,no,no,yes
46,admin.,single,secondary,849,yes,no,yes
43,blue-collar,single,secondary,318,yes,no,yes
27,management,single,tertiary,703,yes,no,yes
38,services,divorced,secondary,61,no,no,yes
53,housemaid,married,primary,104,no,yes,yes
47,blue-collar,married,secondary,1996,no,no,yes
56,housemaid,divorced,primary,1238,no,no,yes
41,housemaid,married,secondary,879,no,no,yes
29,self-employed,married,secondary,425,yes,no,yes
50,technician,married,secondary,416,yes,no,yes
45,blue-collar,divorced,primary,844,no,no,yes
35,blue-collar,married,secondary,860,yes,no,yes
26,technician,single,secondary,639,yes,no,yes
26,admin.,married,secondary,710,yes,yes,yes
37,blue-collar,married,unknown,1508,no,yes,yes
30,admin.,single,secondary,223,yes,no,yes
38,management,single,tertiary,619,yes,no,yes
37,services,divorced,secondary,319,yes,no,yes
53,technician,married,secondary,480,no,no,yes
29,blue-collar,single,primary,213,yes,no,yes
35,management,single,tertiary,68,no,no,yes
28,blue-collar,married,secondary,2788,yes,no,yes
55,blue-collar,married,unknown,7561,no,no,yes
49,management,divorced,secondary,-46,yes,no,yes
50,services,married,secondary,1595,no,no,yes
43,management,single,tertiary,1046,no,no,yes
58,self-employed,divorced,tertiary,1382,no,no,yes
38,technician,married,primary,217,yes,no,yes
48,blue-collar,divorced,primary,183,no,no,yes
59,management,married,secondary,1321,no,no,yes
58,blue-collar,married,secondary,25,no,no,yes
36,self-employed,single,tertiary,4844,no,no,yes
42,entrepreneur,married,tertiary,5345,no,no,yes
41,admin.,single,secondary,812,no,yes,yes
42,admin.,married,secondary,105,no,no,yes
39,management,married,tertiary,-190,no,yes,yes
57,housemaid,married,primary,625,no,yes,yes
52,retired,married,unknown,293,no,no,yes
59,retired,married,unknown,1033,no,no,yes
56,blue-collar,married,secondary,1210,no,no,yes
49,management,married,tertiary,64,no,no,yes
35,blue-collar,divorced,unknown,164,no,no,yes
36,unemployed,married,secondary,1766,no,no,yes
40,admin.,single,tertiary,1248,no,no,yes
55,blue-collar,married,secondary,0,no,no,yes
58,admin.,married,secondary,826,no,no,yes
39,self-employed,married,tertiary,2630,no,no,yes
47,housemaid,single,tertiary,3727,no,no,yes
40,management,married,secondary,406,yes,no,yes
35,blue-collar,married,tertiary,2999,no,no,yes
48,blue-collar,married,secondary,1000,yes,no,yes
48,management,divorced,tertiary,503,no,yes,yes
24,blue-collar,single,secondary,-203,yes,no,yes
49,blue-collar,married,primary,361,yes,no,yes
36,blue-collar,married,secondary,274,yes,no,yes
52,retired,divorced,tertiary,3687,yes,yes,yes
42,entrepreneur,single,unknown,323,no,no,yes
36,services,married,secondary,981,no,no,yes
36,blue-collar,divorced,secondary,638,yes,no,yes
48,unemployed,single,tertiary,3229,no,no,yes
51,management,single,secondary,1610,yes,no,yes
51,blue-collar,married,secondary,33,no,yes,yes
46,technician,married,secondary,536,yes,no,yes
37,management,married,tertiary,0,no,no,yes
36,entrepreneur,married,tertiary,3057,no,no,yes
47,management,married,secondary,2892,no,no,yes
40,technician,divorced,tertiary,0,no,no,yes
38,student,single,tertiary,3316,no,no,yes
40,management,married,secondary,106,no,no,yes
39,blue-collar,married,primary,2303,yes,no,yes
60,management,married,tertiary,3301,no,no,yes
39,self-employed,single,tertiary,426,no,no,yes
51,services,divorced,secondary,9,no,no,yes
27,admin.,married,secondary,-97,yes,no,yes
41,management,single,tertiary,11008,no,no,yes
42,blue-collar,single,primary,4930,no,no,yes
41,entrepreneur,married,secondary,707,no,no,yes
33,technician,married,secondary,4,yes,yes,yes
46,admin.,married,secondary,126,no,no,yes
31,blue-collar,married,secondary,671,yes,no,yes
41,blue-collar,married,primary,219,no,yes,yes
41,blue-collar,divorced,secondary,3622,no,no,yes
55,retired,divorced,secondary,1580,no,yes,yes
53,technician,married,secondary,1319,no,no,yes
55,housemaid,married,primary,2152,no,no,yes
39,services,married,secondary,2843,yes,no,yes
40,entrepreneur,married,tertiary,0,no,no,yes
59,retired,married,primary,1115,no,no,yes
42,blue-collar,single,secondary,625,no,no,yes
41,blue-collar,married,primary,246,no,no,yes
27,blue-collar,married,secondary,61,yes,no,yes
25,blue-collar,single,secondary,-191,yes,no,yes
43,unemployed,married,primary,519,no,no,yes
44,services,married,secondary,522,no,yes,yes
26,blue-collar,single,secondary,-46,yes,no,yes
52,retired,married,tertiary,2269,no,no,yes
54,services,married,unknown,386,no,yes,yes
56,management,married,tertiary,0,no,yes,yes
57,management,married,tertiary,9103,no,yes,yes
29,blue-collar,single,secondary,908,yes,no,yes
47,technician,married,tertiary,1694,no,yes,yes
57,management,married,tertiary,-92,yes,yes,yes
40,blue-collar,married,secondary,188,yes,yes,yes
46,services,divorced,secondary,0,no,no,yes
43,blue-collar,single,secondary,740,yes,no,yes
45,management,married,tertiary,655,no,no,yes
24,management,married,secondary,867,yes,no,yes
40,blue-collar,married,secondary,1009,yes,yes,yes
38,services,divorced,unknown,6360,no,no,yes
36,unemployed,married,tertiary,4145,no,no,yes
27,blue-collar,single,secondary,-27,no,no,yes
26,admin.,single,primary,-122,yes,no,yes
43,management,married,tertiary,149,yes,no,yes
25,blue-collar,single,primary,52,yes,no,yes
27,blue-collar,married,tertiary,335,yes,no,yes
30,technician,married,tertiary,526,yes,yes,yes
28,admin.,single,secondary,-7,no,yes,yes
27,blue-collar,married,primary,-413,no,yes,yes
32,admin.,divorced,secondary,-241,no,yes,yes
41,blue-collar,single,secondary,75,yes,no,yes
37,technician,single,tertiary,0,no,no,yes
27,technician,single,secondary,158,no,no,yes
29,services,single,secondary,84,no,yes,yes
33,services,married,secondary,114,no,yes,yes
36,technician,married,primary,0,no,no,yes
28,blue-collar,single,secondary,-127,yes,no,yes
55,blue-collar,married,secondary,49,yes,no,yes
51,technician,married,secondary,216,no,no,yes
39,technician,single,secondary,506,yes,no,yes
42,blue-collar,divorced,primary,213,yes,no,yes
33,services,single,secondary,170,no,no,yes
36,entrepreneur,divorced,tertiary,776,no,yes,yes
45,technician,married,secondary,879,no,no,yes
37,self-employed,married,secondary,1633,no,no,yes
46,unemployed,married,secondary,926,no,no,yes
32,self-employed,single,tertiary,2559,no,no,yes
28,technician,single,secondary,909,no,yes,yes
45,admin.,divorced,secondary,-176,no,yes,yes
41,blue-collar,single,secondary,1085,yes,yes,yes
59,blue-collar,divorced,primary,1265,no,yes,yes
47,technician,single,secondary,-239,yes,yes,yes
31,blue-collar,single,secondary,726,no,no,yes
31,management,single,tertiary,296,no,yes,yes
33,entrepreneur,married,secondary,-627,yes,yes,yes
52,entrepreneur,married,tertiary,-468,no,no,yes
26,self-employed,single,secondary,551,no,no,yes
25,technician,single,secondary,0,no,yes,yes
25,blue-collar,married,secondary,101,no,yes,yes
28,blue-collar,single,secondary,517,no,yes,yes
33,entrepreneur,divorced,tertiary,37,no,yes,yes
45,management,divorced,tertiary,854,no,yes,yes
36,services,married,secondary,30,no,yes,yes
26,blue-collar,single,secondary,81,no,yes,yes
38,technician,married,secondary,0,no,no,yes
56,blue-collar,single,secondary,663,no,yes,yes
26,admin.,single,secondary,102,no,yes,yes
26,technician,married,secondary,370,no,yes,yes
25,blue-collar,single,secondary,189,no,yes,yes
26,unemployed,single,secondary,111,no,no,yes
40,blue-collar,married,primary,665,yes,no,yes
37,admin.,married,primary,214,yes,no,yes
43,blue-collar,single,primary,0,no,no,yes
41,services,divorced,tertiary,1583,yes,no,yes
49,blue-collar,married,secondary,0,no,yes,yes
29,admin.,divorced,tertiary,0,no,yes,yes
39,services,divorced,secondary,687,yes,no,yes
38,management,married,tertiary,327,yes,yes,yes
26,technician,married,secondary,-119,no,yes,yes
32,management,married,tertiary,794,yes,yes,yes
33,blue-collar,married,primary,-191,yes,yes,yes
31,management,single,tertiary,409,no,yes,yes
49,blue-collar,married,primary,3,no,yes,yes
27,unemployed,single,primary,9,no,yes,yes
30,blue-collar,single,secondary,155,yes,yes,yes
35,blue-collar,married,secondary,1330,no,no,yes
26,blue-collar,single,secondary,-29,yes,no,yes
45,entrepreneur,married,unknown,3133,yes,yes,yes
34,admin.,married,secondary,-33,yes,yes,yes
28,admin.,single,secondary,-170,no,yes,yes
25,blue-collar,single,secondary,1243,no,yes,yes
30,blue-collar,single,secondary,1598,yes,no,yes
30,services,married,secondary,5,no,yes,yes
47,services,married,secondary,367,yes,no,yes
57,admin.,divorced,secondary,658,no,no,yes
38,management,married,tertiary,1722,yes,no,yes
54,technician,married,secondary,-315,no,yes,yes
25,blue-collar,single,primary,2483,no,no,yes
30,blue-collar,married,secondary,0,yes,yes,yes
26,management,single,tertiary,45,no,no,yes
31,student,married,primary,46,yes,no,yes
29,blue-collar,single,secondary,482,no,yes,yes
49,blue-collar,married,secondary,3728,yes,no,yes
60,retired,divorced,secondary,1099,no,no,yes
60,management,married,tertiary,2222,yes,no,yes
29,management,single,tertiary,983,yes,no,yes
55,management,divorced,secondary,204,yes,no,yes
44,admin.,married,secondary,1074,yes,no,yes
47,technician,married,secondary,3466,yes,no,yes
35,admin.,married,secondary,-203,yes,no,yes
35,entrepreneur,married,secondary,2436,no,yes,yes
38,technician,married,secondary,976,yes,no,yes
34,entrepreneur,married,tertiary,146,yes,no,yes
50,technician,married,secondary,156,no,yes,yes
43,admin.,married,tertiary,189,yes,no,yes
44,admin.,divorced,secondary,163,yes,no,yes
51,services,divorced,secondary,242,no,yes,yes
31,technician,married,secondary,1173,yes,no,yes
39,technician,married,tertiary,0,yes,no,yes
59,management,married,tertiary,296,no,yes,yes
25,services,single,secondary,333,no,yes,yes
58,management,married,tertiary,3864,yes,no,yes
30,entrepreneur,married,primary,2686,yes,no,yes
34,blue-collar,single,primary,-109,yes,no,yes
51,services,divorced,secondary,65,no,yes,yes
60,retired,married,secondary,597,no,no,yes
51,entrepreneur,married,secondary,-799,no,yes,yes
37,management,divorced,tertiary,1775,no,no,yes
30,blue-collar,single,primary,0,no,no,yes
46,entrepreneur,divorced,secondary,-563,no,yes,yes
29,student,single,tertiary,5,no,no,yes
27,entrepreneur,married,tertiary,139,no,no,yes
28,management,single,tertiary,0,yes,no,yes
34,blue-collar,single,secondary,855,yes,no,yes
29,blue-collar,single,unknown,694,yes,yes,yes
27,management,single,tertiary,151,yes,no,yes
26,technician,single,secondary,354,no,no,yes
36,management,married,tertiary,673,yes,no,yes
44,blue-collar,married,primary,1265,yes,no,yes
39,blue-collar,married,tertiary,597,no,no,yes
30,technician,married,secondary,-393,yes,yes,yes
31,unemployed,divorced,tertiary,256,yes,no,yes
56,blue-collar,married,primary,0,yes,no,yes
29,blue-collar,married,secondary,2870,yes,no,yes
43,blue-collar,married,secondary,184,no,yes,yes
32,blue-collar,married,secondary,1905,yes,no,yes
30,admin.,single,secondary,-36,no,no,yes
40,blue-collar,married,secondary,-839,yes,yes,yes
42,services,married,secondary,3465,yes,yes,yes
27,student,married,secondary,119,yes,no,yes
35,management,married,tertiary,36,no,yes,yes
35,housemaid,married,primary,113,yes,no,yes
32,blue-collar,single,secondary,118,yes,no,yes
39,technician,married,secondary,251,yes,no,yes
31,blue-collar,divorced,secondary,-277,yes,no,yes
26,services,single,secondary,-189,no,yes,yes
42,management,married,tertiary,4,yes,no,yes
27,services,single,secondary,1820,yes,no,yes
33,self-employed,divorced,secondary,1904,yes,no,yes
51,blue-collar,married,primary,201,yes,no,yes
33,admin.,married,secondary,0,yes,no,yes
30,technician,single,tertiary,178,no,no,yes
52,housemaid,married,primary,3798,yes,no,yes
42,blue-collar,divorced,primary,301,yes,no,yes
31,management,divorced,tertiary,294,yes,no,yes
27,services,married,secondary,0,yes,no,yes
44,blue-collar,single,secondary,292,no,yes,yes
40,entrepreneur,divorced,secondary,2998,yes,no,yes
46,housemaid,divorced,primary,2084,yes,no,yes
32,services,divorced,secondary,454,yes,no,yes
56,technician,divorced,secondary,179,no,no,yes
33,blue-collar,married,secondary,661,yes,no,yes
33,blue-collar,married,secondary,89,yes,no,yes
32,self-employed,married,primary,102,yes,no,yes
41,blue-collar,divorced,primary,138,yes,no,yes
31,admin.,single,secondary,622,no,no,yes
30,admin.,divorced,secondary,10,yes,no,yes
34,admin.,divorced,secondary,-251,no,no,yes
43,entrepreneur,married,secondary,104,yes,no,yes
28,blue-collar,married,secondary,173,no,no,yes
32,admin.,divorced,secondary,-46,no,yes,yes
31,blue-collar,divorced,secondary,0,yes,yes,yes
35,entrepreneur,single,tertiary,145,yes,no,yes
31,management,married,tertiary,325,yes,no,yes
25,services,single,secondary,2311,no,yes,yes
56,retired,divorced,tertiary,158,no,yes,yes
47,technician,married,secondary,1981,yes,no,yes
39,management,married,tertiary,1423,yes,no,yes
51,management,married,tertiary,2455,yes,no,yes
54,technician,divorced,secondary,859,no,yes,yes
58,retired,married,unknown,9004,no,no,yes
42,unemployed,married,unknown,970,yes,no,yes
56,services,married,primary,486,no,yes,yes
55,housemaid,married,secondary,127,yes,no,yes
26,blue-collar,single,primary,409,yes,no,yes
40,admin.,single,secondary,664,no,no,yes
26,technician,single,secondary,223,no,yes,yes
35,management,single,tertiary,-324,no,yes,yes
34,services,single,secondary,-30,no,no,yes
41,management,single,tertiary,1253,no,no,yes
44,management,married,primary,4758,yes,no,yes
33,management,single,tertiary,30,yes,no,yes
36,management,divorced,tertiary,81,no,yes,yes
38,technician,married,secondary,0,yes,no,yes
35,technician,married,tertiary,328,yes,no,yes
41,technician,single,tertiary,145,no,no,yes
41,management,divorced,unknown,465,yes,no,yes
28,blue-collar,married,secondary,751,yes,no,yes
26,services,married,secondary,-379,yes,yes,yes
39,blue-collar,single,secondary,0,no,no,yes
25,admin.,married,unknown,349,yes,no,yes
37,admin.,married,secondary,1110,yes,no,yes
25,management,married,secondary,2228,yes,no,yes
46,management,divorced,tertiary,2166,yes,no,yes
25,blue-collar,single,secondary,-247,yes,no,yes
28,technician,single,tertiary,-123,no,yes,yes
33,services,divorced,secondary,44,no,yes,yes
32,management,single,secondary,131,yes,yes,yes
32,blue-collar,married,secondary,476,yes,no,yes
47,technician,single,secondary,1101,yes,no,yes
50,entrepreneur,married,tertiary,-168,yes,no,yes
27,technician,married,secondary,-392,yes,no,yes
45,admin.,married,secondary,524,yes,no,yes
51,admin.,single,secondary,895,no,no,yes
36,admin.,married,secondary,212,yes,yes,yes
51,self-employed,married,secondary,95,yes,no,yes
33,services,single,tertiary,395,yes,no,yes
59,technician,married,secondary,135,yes,yes,yes
38,entrepreneur,married,tertiary,0,no,no,yes
40,services,married,secondary,471,yes,no,yes
51,blue-collar,married,primary,603,yes,no,yes
41,entrepreneur,single,secondary,663,no,no,yes
38,entrepreneur,married,secondary,593,yes,yes,yes
31,management,married,tertiary,1224,yes,yes,yes
28,admin.,single,secondary,2,yes,no,yes
41,blue-collar,married,secondary,720,no,yes,yes
33,management,divorced,tertiary,990,yes,no,yes
25,student,single,secondary,1747,yes,no,yes
45,admin.,divorced,secondary,59,yes,no,yes
31,blue-collar,married,primary,33,yes,no,yes
28,services,single,secondary,340,yes,no,yes
49,technician,divorced,secondary,305,no,no,yes
25,services,married,secondary,0,yes,no,yes
28,unemployed,single,tertiary,497,yes,no,yes
54,retired,married,secondary,1371,no,no,yes
28,technician,single,tertiary,1628,yes,no,yes
27,technician,single,tertiary,372,yes,yes,yes
49,blue-collar,single,primary,566,yes,no,yes
53,blue-collar,married,primary,343,yes,no,yes
26,technician,single,secondary,941,no,yes,yes
37,services,married,secondary,775,no,yes,yes
34,blue-collar,single,secondary,1759,no,yes,yes
51,retired,married,primary,1495,no,no,yes
39,housemaid,married,secondary,1444,no,no,yes
35,technician,single,tertiary,470,yes,no,yes
51,unemployed,married,primary,1162,yes,no,yes
30,management,single,tertiary,2,yes,yes,yes
42,blue-collar,single,primary,1628,yes,no,yes
54,management,married,secondary,1134,yes,no,yes
51,blue-collar,married,primary,0,yes,yes,yes
57,retired,divorced,primary,63,no,yes,yes
30,management,married,tertiary,1221,yes,no,yes
37,blue-collar,single,secondary,5024,no,yes,yes
39,technician,married,secondary,10685,yes,no,yes
35,technician,married,tertiary,1629,no,no,yes
48,management,married,secondary,268,yes,no,yes
31,management,married,tertiary,0,yes,yes,yes
35,self-employed,married,secondary,5613,yes,no,yes
48,housemaid,married,secondary,513,no,yes,yes
53,housemaid,married,primary,362,no,no,yes
27,technician,single,secondary,3933,no,no,yes
55,technician,married,secondary,3899,yes,no,yes
40,services,married,secondary,473,yes,no,yes
40,self-employed,single,tertiary,1616,no,no,yes
38,blue-collar,divorced,secondary,1817,yes,no,yes
54,retired,single,secondary,129,no,yes,yes
54,technician,married,secondary,1938,no,yes,yes
50,admin.,single,secondary,133,no,no,yes
48,management,divorced,tertiary,2263,no,no,yes
41,services,married,unknown,1538,no,no,yes
51,blue-collar,divorced,primary,5,no,no,yes
